backbone,metric,mean,std,ci_lower,ci_upper,n_folds
convnext_tiny,macro_f1,0.539426,0.071744,0.478769,0.589270,5
convnext_tiny,balanced_accuracy,0.547641,0.077316,0.485244,0.605082,5
convnext_tiny,mean_recall,0.547641,0.077316,0.485244,0.608661,5
convnext_tiny,params_m,27.824742,0.000000,27.824742,27.824742,5
convnext_tiny,latency_ms,47.144603,1.931695,45.778883,48.814430,5
convnext_tiny,recall_ACK,0.682585,0.094206,0.607652,0.753109,5
convnext_tiny,recall_BCC,0.530294,0.197428,0.384272,0.687416,5
convnext_tiny,recall_MEL,0.522630,0.237019,0.351826,0.729196,5
convnext_tiny,recall_NEV,0.679498,0.081787,0.621281,0.748571,5
convnext_tiny,recall_SCC,0.277093,0.045400,0.244267,0.315286,5
convnext_tiny,recall_SEK,0.593746,0.077858,0.530766,0.652845,5
densenet121,macro_f1,0.604088,0.032447,0.578370,0.628296,5
densenet121,balanced_accuracy,0.594046,0.028194,0.571674,0.616419,5
densenet121,mean_recall,0.594046,0.028194,0.571674,0.616419,5
densenet121,params_m,6.960006,0.000000,6.960006,6.960006,5
densenet121,latency_ms,52.712714,5.139579,48.795202,56.630226,5
densenet121,recall_ACK,0.762035,0.123034,0.648563,0.830955,5
densenet121,recall_BCC,0.695137,0.126191,0.584872,0.780707,5
densenet121,recall_MEL,0.567560,0.202533,0.415540,0.729798,5
densenet121,recall_NEV,0.710439,0.075934,0.653937,0.772208,5
densenet121,recall_SCC,0.217642,0.064516,0.168581,0.269942,5
densenet121,recall_SEK,0.611463,0.091935,0.533058,0.679054,5
efficientnet_b0,macro_f1,0.504253,0.088546,0.435482,0.573023,5
efficientnet_b0,balanced_accuracy,0.505298,0.067329,0.455696,0.555367,5
efficientnet_b0,mean_recall,0.505298,0.067329,0.455696,0.562400,5
efficientnet_b0,params_m,4.015234,0.000000,4.015234,4.015234,5
efficientnet_b0,latency_ms,54.274473,2.414106,52.460223,56.115843,5
efficientnet_b0,recall_ACK,0.684545,0.103049,0.607626,0.761463,5
efficientnet_b0,recall_BCC,0.633167,0.177223,0.496787,0.767536,5
efficientnet_b0,recall_MEL,0.339044,0.139071,0.239318,0.454196,5
efficientnet_b0,recall_NEV,0.642692,0.082141,0.572518,0.697440,5
efficientnet_b0,recall_SCC,0.191796,0.112848,0.109921,0.285917,5
efficientnet_b0,recall_SEK,0.540541,0.180910,0.407822,0.673261,5
mobilenet_v3_large,macro_f1,0.569444,0.060386,0.523610,0.615279,5
mobilenet_v3_large,balanced_accuracy,0.559107,0.068157,0.506779,0.609803,5
mobilenet_v3_large,mean_recall,0.559107,0.068157,0.503458,0.611178,5
mobilenet_v3_large,params_m,4.209718,0.000000,4.209718,4.209718,5
mobilenet_v3_large,latency_ms,54.521359,2.214770,52.802241,56.195071,5
mobilenet_v3_large,recall_ACK,0.685299,0.070378,0.625542,0.735196,5
mobilenet_v3_large,recall_BCC,0.724233,0.109216,0.637567,0.810899,5
mobilenet_v3_large,recall_MEL,0.453710,0.235775,0.286966,0.654545,5
mobilenet_v3_large,recall_NEV,0.669592,0.087381,0.600906,0.733246,5
mobilenet_v3_large,recall_SCC,0.212842,0.081585,0.143360,0.268959,5
mobilenet_v3_large,recall_SEK,0.608967,0.099200,0.530837,0.685327,5
regnety_032,macro_f1,0.576231,0.042897,0.538257,0.603736,5
regnety_032,balanced_accuracy,0.598506,0.048381,0.558371,0.630343,5
regnety_032,mean_recall,0.598506,0.048381,0.556113,0.631436,5
regnety_032,params_m,17.932416,0.000000,17.932416,17.932416,5
regnety_032,latency_ms,55.430042,2.816482,53.422076,57.661388,5
regnety_032,recall_ACK,0.721279,0.069664,0.661284,0.778687,5
regnety_032,recall_BCC,0.667441,0.031252,0.644352,0.690530,5
regnety_032,recall_MEL,0.592580,0.235582,0.410412,0.774747,5
regnety_032,recall_NEV,0.764744,0.069628,0.708390,0.818041,5
regnety_032,recall_SCC,0.217675,0.090463,0.146081,0.289269,5
regnety_032,recall_SEK,0.627316,0.116866,0.536735,0.718084,5
resnet50,macro_f1,0.578734,0.022278,0.560901,0.595622,5
resnet50,balanced_accuracy,0.585825,0.029481,0.562279,0.608146,5
resnet50,mean_recall,0.585825,0.029481,0.562900,0.608146,5
resnet50,params_m,23.520326,0.000000,23.520326,23.520326,5
resnet50,latency_ms,51.024331,2.845591,48.973122,53.503749,5
resnet50,recall_ACK,0.746188,0.079264,0.685840,0.809867,5
resnet50,recall_BCC,0.687179,0.099996,0.607344,0.759576,5
resnet50,recall_MEL,0.492599,0.305995,0.263986,0.727599,5
resnet50,recall_NEV,0.724645,0.080314,0.658264,0.784779,5
resnet50,recall_SCC,0.192743,0.114824,0.101720,0.277227,5
resnet50,recall_SEK,0.671594,0.069021,0.627405,0.731068,5
seresnet50,macro_f1,0.594235,0.035123,0.566422,0.619238,5
seresnet50,balanced_accuracy,0.583104,0.031796,0.557905,0.607245,5
seresnet50,mean_recall,0.583104,0.031796,0.556251,0.607598,5
seresnet50,params_m,26.051318,0.000000,26.051318,26.051318,5
seresnet50,latency_ms,49.618055,1.704227,48.353509,51.058406,5
seresnet50,recall_ACK,0.742291,0.054750,0.695918,0.784501,5
seresnet50,recall_BCC,0.705168,0.053818,0.658295,0.742843,5
seresnet50,recall_MEL,0.390793,0.159979,0.275758,0.528671,5
seresnet50,recall_NEV,0.777376,0.037791,0.745154,0.808771,5
seresnet50,recall_SCC,0.242004,0.107119,0.151360,0.321942,5
seresnet50,recall_SEK,0.640989,0.085726,0.564308,0.698351,5
shufflenet_v2_x1_0,macro_f1,0.612728,0.025593,0.591761,0.632248,5
shufflenet_v2_x1_0,balanced_accuracy,0.615755,0.037822,0.586588,0.644287,5
shufflenet_v2_x1_0,mean_recall,0.615755,0.037822,0.586588,0.644287,5
shufflenet_v2_x1_0,params_m,1.259754,0.000000,1.259754,1.259754,5
shufflenet_v2_x1_0,latency_ms,52.780500,2.031354,51.068962,54.172760,5
shufflenet_v2_x1_0,recall_ACK,0.752132,0.042360,0.719610,0.785061,5
shufflenet_v2_x1_0,recall_BCC,0.655569,0.059938,0.603647,0.696072,5
shufflenet_v2_x1_0,recall_MEL,0.528943,0.247049,0.338034,0.733489,5
shufflenet_v2_x1_0,recall_NEV,0.720123,0.102594,0.630343,0.785914,5
shufflenet_v2_x1_0,recall_SCC,0.297503,0.118237,0.205963,0.389044,5
shufflenet_v2_x1_0,recall_SEK,0.740257,0.085212,0.680465,0.814242,5
tf_efficientnetv2_s,macro_f1,0.582223,0.024795,0.563439,0.600405,5
tf_efficientnetv2_s,balanced_accuracy,0.573932,0.021123,0.557903,0.589934,5
tf_efficientnetv2_s,mean_recall,0.573932,0.021123,0.557903,0.589934,5
tf_efficientnetv2_s,params_m,20.185174,0.000000,20.185174,20.185174,5
tf_efficientnetv2_s,latency_ms,51.163669,2.681767,49.327677,53.412382,5
tf_efficientnetv2_s,recall_ACK,0.736810,0.060403,0.685715,0.779448,5
tf_efficientnetv2_s,recall_BCC,0.707683,0.086694,0.642731,0.772636,5
tf_efficientnetv2_s,recall_MEL,0.496601,0.100988,0.424126,0.583838,5
tf_efficientnetv2_s,recall_NEV,0.634700,0.094978,0.549686,0.692742,5
tf_efficientnetv2_s,recall_SCC,0.225527,0.064039,0.175208,0.270163,5
tf_efficientnetv2_s,recall_SEK,0.642268,0.076276,0.583188,0.701348,5
vit_small_patch16_224,macro_f1,0.607434,0.026862,0.587985,0.630200,5
vit_small_patch16_224,balanced_accuracy,0.604541,0.014816,0.593355,0.615728,5
vit_small_patch16_224,mean_recall,0.604541,0.014816,0.593152,0.615728,5
vit_small_patch16_224,params_m,21.667974,0.000000,21.667974,21.667974,5
vit_small_patch16_224,latency_ms,61.345380,8.503024,54.740563,67.950197,5
vit_small_patch16_224,recall_ACK,0.769670,0.045564,0.734554,0.804961,5
vit_small_patch16_224,recall_BCC,0.705738,0.096522,0.641025,0.785327,5
vit_small_patch16_224,recall_MEL,0.566511,0.156195,0.459596,0.702875,5
vit_small_patch16_224,recall_NEV,0.639204,0.158915,0.507966,0.756539,5
vit_small_patch16_224,recall_SCC,0.229919,0.111089,0.136364,0.309919,5
vit_small_patch16_224,recall_SEK,0.716206,0.095169,0.634356,0.779928,5
